Questions,Answers,Intent
What does the unbroken white line in the middle of the road represent?,The unbroken white line in the middle of the road indicates that you should not overtake here or do it with caution if necessary,Road_Marking_Information
What are the symptoms of acute heart attack?,"Symptoms of heart attack: Unbearable pain in the chest that extends from the left shoulder to the neck or left arm, sweating, blurred vision, feeling of nausea are some of the main symptoms of an acute heart attack",Acute_Heart_Attack_Symptoms
How would you handle an injured person in case of a heart attack?,Give Dispirin (Soluble) 325 or 350 mg tablet to chew or dissolve it in Â¼ cup of water and give it to drink. Will immediately call an ambulance and take the injured to the hospital,Handling_Heart_Attack_Victims
How to save a drowning person?,"A drowning person will be saved with the help of a rubber tube. If his stomach is filled with water, then make the person lie down on his stomach and apply pressure on his back so that the water will come out through the mouth",Drowning_Person_Rescue_Procedure
What do you understand by life safety?,It means saving the life of an accident victim by helping him,Life_Safety_Awareness
What should we do if the driver ahead of us is signaling to turn right?,"If the driver ahead of us is indicating to turn right, then we should not overtake. We should pass from the left side only when the next vehicle has turned to the right",Right_Turn_Signal_Response
What should you do when a speeding vehicle behind you keeps honking its horn?,We should give him the way to go ahead,Responding_to_Honking_Situation
"In case of an accident, which of your knowledge can be helpful to the injured person?","In such a case, it will be useful for the injured person to use the knowledge of first aid and survival systems",Knowledge_Assistance_in_Accidents
What should be done when pedestrians are waiting to cross the road?,You should stop the vehicle and allow the pedestrians to cross the road and then proceed further,Pedestrian_Crosswalk_Guidelines
When should you use your vehicle's dipper/hazard lights?,Your vehicle's dipper/hazard lights should be used in foggy weather or when it is raining heavily,Dipper_Hazard_Lights_Usage
What color is the number plate of a commercial vehicle?,The numbers of commercial vehicles are written in black letters on the yellow plate,Commercial_Vehicle_Number_Plate_Color
What is the safe way to overtake a vehicle?,Any vehicle should always be overtaken carefully only when there is sufficient space on the right side,Safe_Overtaking_Procedure
What does the red light indicate at a traffic signal and is it necessary to stop at it?,"This indicates stopping the vehicle. Yes, it is necessary to stop at this, there is a fine of Rs 100 for not following it and it also causes accidents",Red_Light_Indication
What is the validity of Learner's License?,Learner's License remains valid for 6 months from the date of issue,Learners_License_Validity_Information
Is the driving license made in any state valid in the entire country?,"Yes, it will be valid and valid in the entire country",
What is the use of hand brake in a four-wheeler?,"Hand brake is used to park the vehicle, it helps in holding the vehicle in place and does not allow the parked vehicle to roll down the slope",Hand_Brake_Functionality
What do blinking yellow and red lights mean?,It signals both to reduce the speed of the vehicle and to remain alert and proceed safely. But we should be extra careful where the red light is blinking,Meaning_of_Blinking_Yellow_and_Red_Lights
When can we apply for Permanent Driving License?,We can apply for Permanent Driving License within days to months after the date of issue of Learner License,Permanent_Driving_License_Application_Process
Can three persons travel on a two-wheeler?,"No, this is a legal offense and can attract a fine of Rs 2,000 or/and suspension of driving license for three months under Section 194(C) of the Motor Vehicles Act",Two-Wheeler_Occupancy_Limit
Which documents should a driver always keep with him while driving?,"The driver should always have a valid driving license, vehicle registration, pollution control certificate and valid insurance documents",Essential_Documents_for_Driving
What does the yellow continuous/unbroken strip in the middle of the road indicate?,Overtaking is not allowed here,Meaning_of_Yellow_Continuous_Unbroken_Strip
Minimum age to obtain (Commercial Driving License)?,At the age of 18 you can get a commercial license,Minimum_Age_for_Commercial_License
Minimum age to obtain Driving License for LMV/ Light Motor Vehicle?,At the age of 18 you can get a license for LMV/Light Motor Vehicle,Minimum_Age_for_LMV_License
"If we want to change our lanes while driving, what is the safe way?","Before changing the lane, we should give signal by indicator or hand and then change the lane by maintaining a safe and appropriate distance from other vehicles",Safe_Lane_Change_Procedure
What is Pollution Under Control Certificate (PUC) Certificate? What is important about it?,PUC means pollution control. PUC certificate shows the carbon emissions emitted by your vehicle,Pollution_Control_Certificate_Information
What is the validity of Pollution Control Certificate?,"A ready-made PUC certificate comes with the new vehicle, which is valid for one year. After completion of the first year, it has to be renewed and the new PUC certificate will be valid for 6 months",Pollution_Control_Certificate_Validity
How can a pollution control certificate be recovered after its validity expires?,It can be made before the expiry of the previous pollution control certificate or within 7 days after its expiry. You can get it done by visiting your nearest pollution testing centre,Recovering_Expired_Pollution_Certificate
What is the validity of vehicle insurance?,The validity of vehicle insurance is 1-2 years,Vehicle_Insurance_Validity_Information
If we have a Learner's License then from whom should we learn driving?,We will learn driving from a trained driver from a training school who has a valid driving license,Learning_Driving_with_Learners_License
What is the correct way to cross the road on foot?,"Always use zebra crossing, where there is no zebra crossing then cross the road by looking left and right",Pedestrian_Road_Crossing_Guidelines
What color is the number plate of a private vehicle?,Private vehicle numbers are written in black letters on white plates,Private_Vehicle_Number_Plate_Color
What to do while coming from the street to the main road?,"Will stop the vehicle and look at both sides of the main road, then proceed carefully onto the main road",Street_to_Main_Road_Driving_Etiquette
What precautions should be taken while boarding or deboarding a bus or any mode of transport?,One should always get on and off in a queue by holding the handrail because if the vehicle starts moving suddenly then there is no possibility of the passenger falling,Boarding_Deboarding_Transport_Precautions
Why are zebra crossings only black and white?,"Black and white are opposite colors and the human eye is sensitive to contrasting colors, so zebra crossings are colored black and white",Zebra_Crossing_Color_Choice_Explanation
How many liters of blood are there in the human body?,The average adult has 4 to 5 liters of blood in his body,Human_Body_Blood_Volume
What happens if the accident victim bleeds profusely?,"Our brain needs constant oxygen to function smoothly. 4 to 5 liters of blood circulates in a healthy human body. After bleeding of about 1 litre, the heart rate of the injured person increases and he starts feeling restless and there is a possibility of sleep. If 1.5 liters of blood has been lost, there is a possibility of unconsciousness and if 2 liters or more of blood has been lost, there can be death due to lack of oxygen",Handling_Profuse_Bleeding_in_Accidents
Is there any law that provides protection to a person who helps an accident victim?,"Yes, the law that protects the person who helps an accident victim is called Good Samaritan Law",Good_Samaritan_Law_Explanation
Can you explain in detail about the rights of a good citizen/Good Samaritan Law?,The Supreme Court's decision in March protects the person helping the injured. In which the police or the doctor will not ask any questions to the person helping but will treat the injured on priority basis. Will not put pressure on them to become witnesses. No civil or criminal case can be registered against the assisted living person and the government or private hospital will not demand any payment from him,Good_Citizen_Rights_and_Good_Samaritan_Law
In which direction should a pedestrian walk where there is no footpath?,"Where there is no footpath, walk in the opposite direction of the traffic so that you can see the vehicles coming from the front and there is no possibility of an accident",Pedestrian_Walk_Direction_without_Footpath
Who should wear seat belt in a four-wheeler?,"Everyone sitting front and rear, including the four-wheeler driver, should wear seat belts for their own safety, failing which there is a fine of Rs 1000 under Section 194B of the Motor Vehicles Act",Seat_Belt_Usage_Guidelines
Is it legal to drive a vehicle without a valid license?,"No, this is a legal offense and there is a fine of Rs 5000 under section 181",Legal_Consequences_of_Driving_Without_License
When should fog lights be used?,Fog lights should be used when visibility is low in fog/bad weather,Usage_of_Fog_Lights
Is it advisable to use high beams while driving at night?,"It is absolutely inappropriate to drive on high beam at night. By doing so, the bright light coming from the opposite direction causes blurring in the eyes of the driver which often causes accidents. Always use low beam while driving at night. Use High Beam for a few moments only if it is absolutely necessary for your safety",Advisability_of_High_Beams_at_Night
Is it okay to drive without valid insurance?,"No, this is a legal offense and for doing so there is a fine of Rs 2,000 under Section 196 and if caught for the second time, a fine of Rs 4,000 and/or six months' imprisonment",Consequences_of_Driving_Without_Valid_Insurance
What does the broken white stripe in the middle of the road indicate?,Here you can overtake carefully,Meaning_of_Broken_White_Stripe
What are the consequences of violating traffic signals?,"This can lead to a serious accident and if caught doing so, there is a fine of Rs 150 for the first time and Rs 500 for the second violation under Section 119/177A of the Motor Vehicles Act",Consequences_of_Traffic_Signal_Violation
Is it appropriate to overtake on a circle?,"No, overtaking on the circle is not good from safety point of view",Appropriateness_of_Overtaking_on_a_Circle
What is the penalty for being caught driving at high speed?,"Under Section 183 of the Motor Vehicles Act, there is a fine of Rs 1000 for LMV for over speeding and if caught for the second time, a fine of Rs 2000 and DL/(Driving License) is confiscated. For MPV, there is a fine of Rs 2000 and if caught for the second time, a fine of Rs 4000 and the DL (Driving License) is confiscated",Penalty_for_Driving_at_High_Speed
What is the duty of every citizen walking on the road?,It is the duty of every citizen to follow traffic rules and instructions and also help in saving the life of an accident victim,Citizen_Duty_on_the_Road_Awareness
How many people are losing their lives in road accidents every year in the world?,Every year around 13.5 lakh people in the world are losing their lives in road accidents,Global_Road_Accident_Fatalities_Information
What position does India rank in the world in terms of deaths due to road accidents?,"India ranks first in road accidents in the world. In India alone, every year more than 1,50,000 people lose their lives and 5 lakh people are injured in road accidents",India's_Ranking_in_Road_Accident_Deaths
What is the figure of youth in deaths due to road accidents in India?,"81% of those who lose their lives in road accidents are youth aged 18-45 years, who are the future of the country",Youth_Deaths_in_Indian_Road_Accidents_Statistics
What is the safe way to cross the road?,"Always use the footpath and where there is no footpath, walk in the opposite direction of oncoming traffic. Where there is no zebra crossing, cross the road only by looking to your right and left",Safe_Road_Crossing_Procedure
What precautions should be taken while riding a bicycle?,"Ride the bicycle only on the left side of the road. Be sure to wear a helmet while riding a bicycle. Before turning the bicycle, look backwards and signal the direction in which you want to turn",Bicycle_Riding_Precautions
What precautions should be taken while cycling at night?,"Ride a bicycle at night wearing light colored or yellow or orange colored clothes and use a bicycle fitted with yellow reflectors, so that you can be visible to other drivers",Night_Cycling_Precautions
What is the penalty for driving a two-wheeler without a valid driving license?,"There is a fine of Rs 5,000 under Section 181 of the Motor Vehicles Act for driving without a valid driving license",Penalty_for_Driving_Without_License_(Two-Wheeler)
What is the penalty for driving a two-wheeler with more than two passengers?,Driving with more than two passengers can attract a fine of Rs 2000 or/and suspension of driving license for three months under Section 194(C) of the Motor Vehicles Act,Penalty_for_Exceeding_Passenger_Limit_(Two-Wheeler)
Is it safe to drive a two-wheeler with a child in front?,"Driving a two-wheeler with a child standing in front can be dangerous. Due to this, there is a possibility of the vehicle becoming unbalanced",Safety_of_Driving_with_Child_on_Two-Wheeler
Why is it important to wear a helmet while driving?,"Most deaths in road accidents occur due to head injuries. Therefore, while driving, use ISI marked helmet and wear its belt. Helmet is your safety shield",Importance_of_Wearing_Helmets
What penalty is there if caught driving without a helmet?,"Under Section 194D of the Motor Vehicles Act, a front or pillion rider caught without a helmet can be punished with a fine of up to Rs 1,000 and/or cancellation of license for 3 months",Penalty_for_Driving_Without_Helmet
What precautions should be taken while driving in bad weather?,"Visibility is reduced in fog/bad weather, hence do not drive at high speed, use fog lights, backlight and take special care while turning",Driving_Precautions_in_Bad_Weather
What penalty is there if a minor is caught driving a vehicle?,"Under Motor Vehicle Act 199A, if a minor is caught driving a vehicle, the vehicle owner will have to pay a fine of up to Rs 25,000. The registration of the vehicle will be canceled for one year. After this, the driving license of the minor will not be issued till the age of 25 years",Penalty_for_Minor_Driving_a_Vehicle
What penalty is there if an accident occurs while a minor is driving a vehicle?,"If found guilty of causing an accident involving a minor, the vehicle owner can face imprisonment of up to three years along with a fine of Rs 25,000. The minor will be presented in the juvenile court",Penalty_for_Accident_Involving_Minor_Driver
What is the penalty for driving without a seat belt?,"Wearing seat belts is mandatory under Section 194B of the Motor Vehicles Act, failing which there is a fine of Rs 1000",Penalty_for_Not_Wearing_Seat_Belt
What are the benefits of wearing seat belts?,"If front and rear passengers wear seat belts, the risk of serious injury during an accident can be avoided. In vehicles which have air bags, if you are not wearing a seat belt while driving, then the air bags will not open in the event of an accident",Benefits_of_Wearing_Seat_Belts
Where should the vehicle always be parked?,"Always park the vehicle in a valid parking area. Due to this, there will be no jam on the road and there will be no possibility of accident",Proper_Vehicle_Parking_Guidelines
Why should one not drive on high beam at night?,"At night, the bright light of high-beams of the vehicle coming from the front causes blurred vision of the driver, which often causes accidents. Therefore, always use low beam while driving",Avoiding_High_Beam_Usage_Explanation
Is it okay to use mobile while driving?,"No, using mobile while driving distracts attention and can lead to an accident",Mobile_Phone_Usage_While_Driving_Guidelines
What punishment or fine is there if someone is caught using a mobile phone while driving?,"Under Section 184(iv)(c) of the Motor Vehicles Act, using a mobile phone while driving can result in a fine of Rs 1,000 or/and imprisonment of up to one year and if caught again, a fine of Rs 10,000 or/and two years imprisonment. There is a provision of one year imprisonment",Penalty_for_Mobile_Phone_Usage_While_Driving
Why should one not drive under the influence of any kind of intoxication?,"A drunk driver's ability to judge and see distance and speed is affected. Therefore, after consuming intoxicants, leave only after taking proper rest",Drunk_Driving
How much fine or punishment can be imposed if caught driving under the influence of alcohol?,"Under Section 185 of the Motor Vehicles Act, drunk driving is punishable with imprisonment of up to six months and a fine of â‚¹ 10,000 or both, and for a second conviction, imprisonment of up to two years and a fine of â‚¹ 15,000 or both",Penalty_for_Driving_Under_the_Influence
What is the fine for not following traffic signals?,"There is a fine of Rs 1000 under the Motor Vehicle Act for not following traffic signals, which is the same for all vehicles",Penalty_for_Traffic_Signal_Violation
What are emergency vehicles?,"Ambulances, fire vehicles and police vehicles are emergency vehicles",Understanding_Emergency_Vehicles
Is there a penalty for not giving way to an emergency vehicle?,"Not giving way to vehicles like ambulance, fire fighting vehicle, or other emergency carries a fine of Rs 10,000 under Section 194E of the Motor Vehicles Act",Penalty_for_Not_Giving_Way_to_Emergency_Vehicle
Is there any penalty if caught dangerously overtaking?,"According to Section 134/177 of the Motor Vehicles Act, a fine of Rs 150 will be imposed for dangerous overtaking and Rs 500 if caught for the second time",Penalty_for_Dangerous_Overtaking
What is the provision of penalty if a vehicle carrying overloaded goods is caught?,"Rs 20,000 and additional fine of Rs 2000 per tonne for overloaded goods vehicle under Section 194 of the Motor Vehicles Act",Penalty_for_Overloaded_Goods_Vehicle
What is the penalty for carrying more passengers than the prescribed limit in any passenger vehicle?,"Under the Motor Vehicles Act, 194(A) for carrying more number of passengers in any type of passenger vehicle (auto rickshaw, private taxi, city-bus etc.) with the permission of the driver or vehicle owner than prescribed by the government. The passenger will be fined â‚¹1000",Penalty_for_Exceeding_Passenger_Limit
Is it okay to drive fast?,"No, among the accidents occurring in the country, the number of accidents due to speeding is highest. Therefore, always drive the vehicle at the prescribed speed",Guidelines_for_Safe_Driving_Speed
What is the punishment for someone caught racing a vehicle in a public place without permission?,"Under Section 189 of the Motor Vehicles Act, anyone caught racing any kind of motor vehicle in any public place without the written consent of the State Government can be punished with a fine of Rs 5000 or/and imprisonment up to three months in case of second offence. There is a provision of fine of Rs 10,000 or/and imprisonment of up to one year",Penalty_for_Racing_a_Vehicle_Without_Permission
How many fines or punishments are there for speeding?,"Under Section 183 of the Motor Vehicles Act, overspeeding (driving faster than the prescribed speed limit) fine of Rs 1000 for LMV, fine of Rs 2000 and license confiscated if caught for the second time, fine of Rs 2000 for MPV and if caught for the second time There is a provision of a fine of Rs 4000 and confiscation of the license",Fines_or_Penalties_for_Speeding
Is the driver required to have valid vehicle insurance?,"To protect the vehicle from any untoward incident, the driver should have an insurance policy that is priced appropriately and meets all the standards",Requirement_of_Valid_Vehicle_Insurance
Is driving without valid insurance a punishable offence?,"Driving an uninsured vehicle is a punishable offense under Section 196 of the Motor Vehicles Act, with a fine of Rs 2000 and a fine of Rs 4000 and/or six months' imprisonment for a second conviction",Penalty_for_Driving_Without_Valid_Insurance
What does the broken white stripe in the middle of the road mean?,The broken white strip in the middle of the road means that you can overtake here,Meaning_of_Broken_White_Stripe
What does the unbroken white stripe in the middle of the road mean?,The unbroken white stripe in the middle of the road means that drivers should overtake carefully,Meaning_of_Unbroken_White_Stripe
What does the unbroken double yellow line in the middle of the road mean?,The unbroken double yellow line in the middle of the road means that vehicles should not overtake at all,Meaning_of_Unbroken_Double_Yellow_Line
Who is required to wear a helmet while riding a two-wheeler?,"While driving a two-wheeler, it is mandatory for the driver and the pillion rider to wear a helmet",Helmet_Requirement_for_Two-Wheeler_Riders
How can the safety of drivers be ensured?,The safety of drivers really starts with a comprehensive vehicle inspection of those vehicles before they travel. In which the means for regular checking of the vehicle's engine and regular maintenance of oil and brake pads should be carried along while traveling because there is a high possibility of them getting damaged on the road,Ensuring_Driver_Safety_Guidelines
What precautions should a driver take while traveling long distances?,"The driver should take proper rest at regular intervals on the way, so that he does not feel sleepy or tired. In this way, accidents caused due to fatigue can be avoided",Precautions_for_Long-Distance_Travel
How should truck trailer drivers prepare for emergencies?,"Truck trailers should always carry a fire extinguisher, water, food, medi-kit, a pair of clothes and blankets for unexpected situations. Due to this, you do not have to face inconvenience if you have to wait for a long period due to repair of the vehicle or adverse weather",Emergency_Preparedness_for_Truck_Trailer_Drivers
